species,quintile,freq_khz,mean_TS,se_TS
LT,q100,85,-26.0678524,1.2871629557815798
LT,q100,85.5,-25.92980452,1.2961307092489824
LT,q100,86,-25.8875364,1.3236884569461311
LT,q100,86.5,-25.7200948,1.3380883032972786
LT,q100,87,-25.47351356,1.3498260503778998
LT,q100,87.5,-25.16013604,1.3422665709441939
LT,q100,88,-24.88075464,1.3254490324638952
LT,q100,88.5,-24.8408412,1.3302759902943537
LT,q100,89,-25.05684872,1.3456472166376576
LT,q100,89.5,-25.415804,1.3528730715789368
LT,q100,91,-26.99968232,1.24464659388374
LT,q100,91.5,-27.13685508,1.181005767801737
LT,q100,92,-27.13405572,1.1464646491529942
LT,q100,92.5,-27.24460332,1.13229069684747
LT,q100,93,-27.34106156,1.1579640319690276
LT,q100,93.5,-27.45656452,1.170553893610014
LT,q100,94,-27.55405444,1.1672205849244865
LT,q100,94.5,-27.68144488,1.1788585987570523
LT,q100,95,-27.78624676,1.1693555921917214
LT,q100,95.5,-28.05800104,1.179433273998246
LT,q100,96,-28.37371076,1.1921211423861033
LT,q100,96.5,-28.66637172,1.2076522745598481
LT,q100,97,-28.82186968,1.2283204904378195
LT,q100,97.5,-28.950969960000002,1.2579838161096648
LT,q100,98,-28.97255068,1.2673176082861415
LT,q100,98.5,-28.831636239999998,1.2500880859573127
LT,q100,99,-28.79494356,1.2453860139789161
LT,q100,99.5,-28.99577308,1.2565091212192079
LT,q100,100,-29.22211248,1.249258530354857
LT,q100,100.5,-29.20211592,1.2165439799655373
LT,q100,101,-29.19621972,1.209708010309155
LT,q100,101.5,-29.17984576,1.1992832447725534
LT,q100,102,-29.12410704,1.189315335873187
LT,q100,102.5,-29.1462082,1.18506360463322
LT,q100,103,-29.13340812,1.1750937178118905
LT,q100,103.5,-29.11642832,1.1717031896135623
LT,q100,104,-29.14623012,1.1803916499022253
LT,q100,104.5,-29.15357236,1.179151885783234
LT,q100,105,-29.04714452,1.1482548673954374
LT,q100,105.5,-28.98499996,1.1265307291709792
LT,q100,106,-29.01643864,1.1290151875037906
LT,q100,106.5,-29.12476964,1.1509196601345273
LT,q100,107,-29.12267504,1.1620536937250168
LT,q100,107.5,-29.06031064,1.1477499369511244
LT,q100,108,-28.98014712,1.1332405751332069
LT,q100,108.5,-28.99676516,1.1328878187115405
LT,q100,109,-29.01604632,1.1292069630129276
LT,q100,109.5,-29.02226432,1.111251158395612
LT,q100,110,-29.02926128,1.0938918637789927
LT,q100,110.5,-28.990751760000002,1.0797691303266506
LT,q100,111,-28.99306104,1.0823577323929727
LT,q100,111.5,-28.99717072,1.0832798541838846
LT,q100,112,-29.00538192,1.0874453658552383
LT,q100,112.5,-28.9909602,1.0860926405724929
LT,q100,113,-29.01350352,1.0912329310687858
LT,q100,113.5,-29.07462316,1.1043161880588044
LT,q100,114,-29.0478296,1.097807968822854
LT,q100,114.5,-29.00510852,1.0734283250184928
LT,q100,115,-29.05416804,1.055907779333469
LT,q100,115.5,-29.13237452,1.0576715729072157
LT,q100,116,-29.16782364,1.0518785397246488
LT,q100,116.5,-29.2028574,1.050545836677959
LT,q100,117,-29.23255424,1.0620744266487139
LT,q100,117.5,-29.22236216,1.084659609428509
LT,q100,118,-29.2206464,1.1196358245656042
LT,q100,118.5,-29.17970192,1.1153962241632387
LT,q100,119,-29.223703360000002,1.1260088560899388
LT,q100,119.5,-29.19548536,1.1262852400939616
LT,q100,120,-29.11184224,1.124203727971043
LT,q100,120.5,-29.04356036,1.1299496257800343
LT,q100,121,-28.9349742,1.1212952791678528
LT,q100,121.5,-28.935326,1.148223162600829
LT,q100,122,-28.917980319999998,1.1465375413646162
LT,q100,122.5,-28.815483,1.1103541954713507
LT,q100,123,-28.6403496,1.0667761242492309
LT,q100,123.5,-28.53823532,1.0185493141483852
LT,q100,124,-28.55950416,0.9984038660286723
LT,q100,124.5,-28.66185812,1.0093225227720561
LT,q100,125,-28.75465772,1.0360408112293815
LT,q100,125.5,-28.723789359999998,1.0315384737324242
LT,q100,126,-28.80353752,1.053245084306293
LT,q100,126.5,-28.76853744,1.0577688696261658
LT,q100,127,-28.759605399999998,1.0530956266153673
LT,q100,127.5,-28.7914062,1.0678572563198745
LT,q100,128,-28.75209268,1.0497119433894466
LT,q100,128.5,-28.76477904,1.0478720520195812
LT,q100,129,-28.81381656,1.058800539489809
LT,q100,129.5,-28.76384024,1.0386873144130324
LT,q100,130,-28.848775,1.0390396540168154
LT,q100,130.5,-29.01210552,1.050486561356262
LT,q100,131,-29.11470148,1.0511544311105483
LT,q100,131.5,-29.01135456,1.0072664368276947
LT,q100,132,-29.06195008,1.0095613647662547
LT,q100,132.5,-29.14700784,1.0106919832482324
LT,q100,133,-29.19152032,0.9993767639114702
LT,q100,133.5,-29.29197628,1.0015755929585883
LT,q100,134,-29.36271264,0.997542866343091
LT,q100,134.5,-29.43364844,0.9896717249152216
LT,q100,135,-29.678005680000002,1.0139569057459439
LT,q100,135.5,-29.96542252,1.0567269594804771
LT,q100,136,-30.13130988,1.0788116277845607
LT,q100,136.5,-30.17410636,1.048052096083208
LT,q100,137,-30.0803676,0.9852661904069157
LT,q100,137.5,-29.96972428,0.9586507719946169
LT,q100,138,-29.93247056,0.9629194718599423
LT,q100,138.5,-29.950078,0.9665239227670501
LT,q100,139,-30.09133588,0.9855113868709438
LT,q100,139.5,-30.218881,1.006329295433178
LT,q100,140,-30.41697332,1.0265653490237883
LT,q100,140.5,-30.45234512,1.0014996590500873
LT,q100,141,-30.55569496,0.9873653867866453
LT,q100,141.5,-30.63500184,0.9947545679038301
LT,q100,142,-30.48514344,0.9589993040865169
LT,q100,142.5,-30.43406164,0.9548991123265186
LT,q100,143,-30.44533736,0.9482726245698754
LT,q100,143.5,-30.41025844,0.92647736636604
LT,q100,144,-30.55933324,0.9424119076197739
LT,q100,144.5,-30.72428996,0.9709779069529689
LT,q100,145,-30.8363808,0.9701014350953839
LT,q100,145.5,-30.90352544,0.9703997159474202
LT,q100,146,-30.90351872,0.9677550189291513
LT,q100,146.5,-30.98219004,0.9730944499943079
LT,q100,147,-31.019361879999998,0.9567696795141682
LT,q100,147.5,-31.0568424,0.9337764129823334
LT,q100,148,-31.1697888,0.9274675839242811
LT,q100,148.5,-31.23542212,0.9198807712216247
LT,q100,149,-31.276869,0.91600350348963
LT,q100,149.5,-31.25374356,0.9028135059304165
LT,q100,150,-31.20535416,0.882417601269504
LT,q100,150.5,-31.11641812,0.8639064088346788
LT,q100,151,-31.01377548,0.860785885769431
LT,q100,151.5,-30.89596096,0.8498723813258033
LT,q100,152,-30.81440376,0.8321487068013831
LT,q100,152.5,-30.64986416,0.8117747204615856
LT,q100,153,-30.51521888,0.7898760693827004
LT,q100,153.5,-30.4367946,0.7760282125946023
LT,q100,154,-30.5447374,0.8063424932496757
LT,q100,154.5,-30.65452384,0.8498279875955049
LT,q100,155,-30.42949004,0.8224589492494999
LT,q100,155.5,-30.25780068,0.8052964956912035
LT,q100,156,-30.16002332,0.8035909176890227
LT,q100,156.5,-30.12311896,0.8153120677018307
LT,q100,157,-30.07881912,0.8459293554705527
LT,q100,157.5,-30.0528266,0.8862787353975199
LT,q100,158,-29.9590562,0.9091303675454838
LT,q100,158.5,-29.84744328,0.9263005429042142
LT,q100,159,-29.67430532,0.9356778197194975
LT,q100,159.5,-29.43319548,0.9221173423548835
LT,q100,160,-29.16603396,0.8892932394684865
LT,q100,160.5,-29.03094668,0.8985926282862879
LT,q100,161,-28.86250256,0.9172575296120625
LT,q100,161.5,-28.61852376,0.9399183559361672
LT,q100,162,-28.349301,0.9468447969165554
LT,q100,162.5,-28.13858516,0.9502471287035401
LT,q100,163,-27.98346356,0.9493661173053244
LT,q100,163.5,-27.94804556,0.9787289751009844
LT,q100,164,-27.87249568,0.9932964672199143
LT,q100,164.5,-27.65938016,0.9752964353319227
LT,q100,165,-27.53991872,0.9662851395579766
LT,q100,165.5,-27.44816476,0.9594815008491379
LT,q100,166,-27.3172836,0.9170180576890277
LT,q100,166.5,-27.37479004,0.9070500744870511
LT,q100,167,-27.72660016,0.9495521777542677
